city	inventory	sector	nox	pm25	so2	voc
Barcelona	ctm4iam	ms34	4.296003059	2.63100543	2.169590117	1.415879579
Bucarest	ctm4iam	ms34	12.92830278	25.33537194	3.64009983	42.88501774
Budapest	ctm4iam	ms34	24.64294388	2.635927366	17.87972459	4.924235357
Katowice	ctm4iam	ms34	2.318505204	2.436776815	1.459298772	0.054962823
London	ctm4iam	ms34	3.419340706	1.399090518	0.653784833	2.47830448
Madrid	ctm4iam	ms34	0.563806759	0.237974115	0.36817969	0.398862839
Milan	ctm4iam	ms34	0.599664316	2.70933948	1.66718374	2.917305717
Paris	ctm4iam	ms34	3.895538713	1.280406509	2.060311875	3.123229568
Sofia	ctm4iam	ms34	2.23077658	1.606184624	0.750258961	4.870107617
Utrecht	ctm4iam	ms34	4.50691098	0.058271382	0.444947977	0.257275164
Warsaw	ctm4iam	ms34	0.516533594	0.401177994	0.789694282	0.532725161
Barcelona	edgar	ms34	8.462982686	6.990602339	6.200247142	3.567798987
Bucarest	edgar	ms34	14.96481386	13.26551776	13.44732999	8.484626418
Budapest	edgar	ms34	46.61597841	36.69242283	44.17355919	29.82123762
Katowice	edgar	ms34	11.95160835	10.71164311	9.234980036	6.506674811
London	edgar	ms34	10.93344106	8.190618399	10.94351617	6.011689549
Madrid	edgar	ms34	13.04166846	9.853098466	9.046923135	6.127395537
Milan	edgar	ms34	6.072179076	2.829115646	4.451172875	2.675345272
Paris	edgar	ms34	17.98029218	16.14036114	12.36411471	11.00912703
Sofia	edgar	ms34	22.74929551	20.48391883	15.86037268	16.24745658
Utrecht	edgar	ms34	3.965323927	2.982748849	2.87760111	3.327128267
Warsaw	edgar	ms34	9.52187372	8.524502253	7.96717434	4.923293069
Paris	emep	ms34	1.448996531	2.999704089	1.255589467	2.979543209
Barcelona	emep	ms34	1.680162735	1.546543568	1.851277392	6.122152868
Bucarest	emep	ms34	0.936208247	0.742594412	1.015175746	1.642121764
Budapest	emep	ms34	13.85760721	7.672309928	23.44463911	24.12684492
Katowice	emep	ms34	4.385656461	4.997609319	2.191960584	10.26477525
London	emep	ms34	1.046704929	1.593553361	0.996963181	2.53403382
Madrid	emep	ms34	0.777441315	0.897197247	1.06743791	3.404722385
Milan	emep	ms34	1.193415187	1.844198354	2.035051774	3.639054768
Sofia	emep	ms34	1.337297423	1.482022737	1.18302758	3.734797536
Utrecht	emep	ms34	2.011041593	1.709290056	2.122057797	2.644491185
Warsaw	emep	ms34	0.590438563	1.345608116	0.850939278	1.742419186
Barcelona	jrc	ms34	7.302219444	4.736476614	5.227519872	6.783743545
Bucarest	jrc	ms34	4.755492172	7.268622513	5.592958372	6.304861804
Budapest	jrc	ms34	17.37963565	20.01955705	14.80298534	15.6821876
Katowice	jrc	ms34	2.909960586	5.631675836	6.376885664	2.490700086
London	jrc	ms34	3.284623332	3.226363943	2.695829217	3.756930684
Madrid	jrc	ms34	2.818482127	2.156188271	4.892963222	2.845819924
Milan	jrc	ms34	3.421347534	5.823537539	3.589896562	4.409918726
Paris	jrc	ms34	3.759500733	5.597119822	2.758157149	3.160112045
Sofia	jrc	ms34	8.729214568	10.18148158	9.683095748	8.771696962
Utrecht	jrc	ms34	3.290220874	3.935492024	1.6149557	2.69439265
Warsaw	jrc	ms34	2.216731938	3.502954086	2.775530911	3.002472884
Barcelona	macc2	ms34	4.223069243	4.195056454	3.193953051	6.887971535
Bucarest	macc2	ms34	4.054041287	0.920189745	4.613170469	1.948853325
Budapest	macc2	ms34	11.80707633	7.488288074	13.18618394	7.155128578
Katowice	macc2	ms34	3.313417885	7.806236817	5.357683175	0.34876298
London	macc2	ms34	6.814749964	5.882315042	6.525136345	8.416476876
Madrid	macc2	ms34	5.917653237	5.506478658	4.475585273	7.022606033
Milan	macc2	ms34	4.809681111	3.588522206	3.306070402	4.444335454
Paris	macc2	ms34	7.494206945	12.24801176	5.524497904	9.577569801
Sofia	macc2	ms34	7.030540989	0.658992667	8.251788871	0.582699194
Utrecht	macc2	ms34	1.633464407	1.733813753	1.795228922	3.783227851
Warsaw	macc2	ms34	2.257635399	4.277732134	1.900510049	0.41280851
Barcelona	macc3	ms34	4.259507017	4.274958725	3.556028782	7.098124142
